time,IMU1.loc_acc_x,IMU1.loc_acc_y,IMU1.loc_acc_z,IMU2.loc_acc_x,IMU2.loc_acc_y,IMU2.loc_acc_z,IMU1.gyro_x,IMU1.gyro_y,IMU1.gyro_z,IMU2.gyro_x,IMU2.gyro_y,IMU2.gyro_z,IMU1.quat_i,IMU1.quat_j,IMU1.quat_k,IMU1.quat_w,IMU2.quat_i,IMU2.quat_j,IMU2.quat_k,IMU2.quat_w,IMU1.roll_x,IMU1.pitch_y,IMU1.yaw_z,IMU2.roll_x,IMU2.pitch_y,IMU2.yaw_z,IMU1.localVelocity_x,IMU1.localVelocity_y,IMU1.localVelocity_z,IMU2.localVelocity_x,IMU2.localVelocity_y,IMU2.localVelocity_z,IMU1.globalVelocity_x,IMU1.globalVelocity_y,IMU1.globalVelocity_z,IMU2.globalVelocity_x,IMU2.globalVelocity_y,IMU2.globalVelocity_z,mcl_sync,label_sync
1677190281148000,-0.436001,0.858024,-1.378879,2.329216,-6.628454,-7.608457,0.264543,-0.031969,0.162008,9.687395,-0.514732,-1.013195,0.581737,0.013153,-0.009408,0.813372,-0.592427,-0.173799,-0.132765,0.775586,1.241972,0.032348,-0.000000,-1.304960,-0.441061,-0.000016,0.007735,0.252078,-0.411223,0.208216,-0.791282,-0.716619,-0.021490,0.728517,-0.232180,0.322082,-1.280127,-0.037784,0,0
1677190281168000,-0.551430,0.697362,-1.095580,0.731650,4.186135,-7.228320,0.022235,0.000422,0.141888,10.445236,-0.339990,-0.622910,0.593121,0.016467,-0.012133,0.805008,-0.554752,-0.223137,-0.157469,0.786163,1.270221,0.040917,-0.000000,-1.229432,-0.553369,-0.000026,-0.001849,0.248518,-0.401199,0.214247,-0.672081,-0.799583,-0.031991,0.745747,-0.222413,0.404454,-1.379687,-0.141016,0,0
1677190281188000,0.159858,-0.135115,-1.427791,0.208693,13.356993,-3.737727,-0.354824,-0.025536,0.086363,7.083761,-0.265361,-0.086552,0.602503,0.014102,-0.010647,0.798076,-0.456393,-0.309768,-0.173175,0.816298,1.293553,0.035346,-0.000000,-1.020286,-0.725886,0.000037,0.002764,0.228601,-0.398325,0.210174,-0.369569,-0.813478,-0.028925,0.764642,-0.230440,0.587585,-1.294901,-0.340405,0,0
1677190281208000,0.281002,0.052742,-0.681849,2.422866,6.888182,-0.449637,-0.219125,-0.053420,-0.001726,0.527495,-0.391516,0.382189,0.606538,0.011393,-0.008691,0.795079,-0.404556,-0.366918,-0.181451,0.818010,1.303604,0.028663,0.000000,-0.919019,-0.843688,0.000031,0.009770,0.212756,-0.381081,0.250753,-0.196568,-0.762432,-0.023142,0.770249,-0.230681,0.708746,-1.209881,-0.383240,0,0
1677190281228000,-0.385290,0.089152,-0.705963,2.282128,-7.649339,2.796976,0.057275,-0.060741,-0.062971,-2.174779,-0.094520,0.891644,0.613349,0.015226,-0.011825,0.789732,-0.450990,-0.331309,-0.184919,0.808052,1.320925,0.038565,0.000000,-1.018463,-0.778515,-0.000020,0.003416,0.197979,-0.364907,0.288898,-0.314482,-0.647349,-0.030672,0.776548,-0.229637,0.632352,-1.234053,-0.240144,0,0
1677190281248000,-0.921800,0.174375,-0.475545,-1.115408,-7.044101,-0.303467,0.265518,-0.079418,-0.021584,-1.257750,0.265642,1.189446,0.620051,0.023036,-0.018215,0.784169,-0.501282,-0.283998,-0.178448,0.797840,1.338343,0.058751,0.000000,-1.122312,-0.684228,-0.000024,-0.013704,0.185267,-0.344749,0.259486,-0.420483,-0.595242,-0.048767,0.778789,-0.224839,0.539683,-1.292143,-0.160499,0,0
1677190281268000,-0.721295,0.076301,-0.685349,-1.563982,-2.129102,2.653057,0.357085,-0.119478,0.080666,-0.518262,0.311593,1.134606,0.629155,0.028039,-0.022715,0.776601,-0.501832,-0.252178,-0.155699,0.812782,1.362028,0.072195,0.000000,-1.106577,-0.601890,0.000004,-0.026851,0.170977,-0.329449,0.221509,-0.428403,-0.485037,-0.063015,0.784700,-0.222623,0.482084,-1.255289,-0.129825,0,0
1677190281287999,-0.064225,-0.130779,-0.625887,0.214461,-4.858320,5.729022,0.592185,-0.142190,0.222845,-0.489586,0.313688,1.083309,0.639840,0.026126,-0.021768,0.767917,-0.495673,-0.225556,-0.135034,0.827934,1.389582,0.068034,0.000000,-1.079189,-0.532114,0.000005,-0.026898,0.152946,-0.313652,0.219516,-0.491151,-0.314412,-0.064386,0.788731,-0.224827,0.418115,-1.191712,-0.009807,0,0
1677190281307999,0.431493,-0.404107,-0.703570,-2.291185,5.209202,-2.582441,0.370808,-0.232229,0.346951,-0.658317,0.133942,0.807783,0.648903,0.018820,-0.016055,0.760633,-0.497022,-0.245568,-0.149033,0.818971,1.412838,0.049487,0.000001,-1.091210,-0.582810,-0.000001,-0.017071,0.129870,-0.300134,0.167834,-0.352816,-0.311174,-0.056034,0.793550,-0.232905,0.447079,-1.180978,-0.134712,0,0
1677190281327999,0.695407,0.049799,-0.184799,-1.029441,5.516415,-1.674505,-0.040151,-0.334858,0.312559,-1.301711,0.043597,0.522369,0.650138,0.009789,-0.008374,0.759870,-0.482727,-0.282791,-0.168155,0.811799,1.415706,0.025768,0.000001,-1.073264,-0.670637,0.000008,-0.002011,0.116309,-0.276993,0.141821,-0.208627,-0.290993,-0.041882,0.789557,-0.230311,0.504399,-1.149284,-0.238607,0,0
